id,type,label
Soas University Of London,Institute,Soas University Of London
Society Of Actuaries,Institute,Society Of Actuaries
Southeastern University,Institute,Southeastern University
Southern Arkansas University,Institute,Southern Arkansas University
Stanford University,Institute,Stanford University
Textile Institute,Institute,Textile Institute
University Of Bristol,Institute,University Of Bristol
University Of Buckingham,Institute,University Of Buckingham
University Of California,Institute,University Of California
University Of Cambridge,Institute,University Of Cambridge
University Of Chicago,Institute,University Of Chicago
University Of Connecticut,Institute,University Of Connecticut
University Of Engineering And Technology,Institute,University Of Engineering And Technology
University Of Hull,Institute,University Of Hull
University Of Illinois,Institute,University Of Illinois
University Of Kent,Institute,University Of Kent
University Of London,Institute,University Of London
University Of Manchester,Institute,University Of Manchester
University Of Michigan,Institute,University Of Michigan
University Of New South Wales,Institute,University Of New South Wales
University Of Oxford,Institute,University Of Oxford
University Of Pennsylvania,Institute,University Of Pennsylvania
University Of Peshawar,Institute,University Of Peshawar
University Of Rochester,Institute,University Of Rochester
University Of Southern California,Institute,University Of Southern California
University Of Tennessee,Institute,University Of Tennessee
University Of Texas At Austin,Institute,University Of Texas At Austin
University Of Wolverhampton,Institute,University Of Wolverhampton
Wharton School Of The University Of Pennsylvania,Institute,Wharton School Of The University Of Pennsylvania
Whu-Otto Beisheim School Of Management,Institute,Whu-Otto Beisheim School Of Management
Wright State University,Institute,Wright State University
Yale University,Institute,Yale University
